Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
Oct-04,3.20%,3.40%,3.50%,3.30%,15.20%,26.60%,0.90%,8.00%,2.00%,0.10%,-0.60%,-0.40%,2.60%,2.80%,2.70%,5.10%,1.40%
Nov-04,3.50%,3.20%,3.10%,3.20%,19.20%,30.90%,2.30%,17.10%,2.20%,0.50%,-0.10%,0.30%,2.70%,2.80%,2.70%,5.00%,1.70%
Dec-04,3.30%,2.70%,2.40%,3.00%,16.60%,26.10%,2.10%,16.40%,2.20%,0.60%,-0.20%,0.60%,2.20%,2.80%,2.70%,4.90%,1.50%
Jan-05,3.00%,2.90%,2.70%,3.20%,10.60%,14.30%,3.50%,11.20%,2.30%,0.90%,0.30%,1.30%,2.30%,2.80%,2.70%,5.00%,1.40%
Feb-05,3.00%,2.60%,2.20%,3.20%,10.40%,14.70%,3.20%,9.00%,2.40%,0.70%,0.10%,1.20%,2.30%,3.00%,3.00%,5.00%,1.40%
Mar-05,3.10%,2.50%,2.10%,3.20%,12.40%,16.80%,4.30%,10.90%,2.30%,0.60%,0.00%,0.90%,2.20%,3.00%,3.00%,5.00%,1.40%
Apr-05,3.50%,3.10%,3.10%,3.20%,17.10%,24.20%,4.10%,16.40%,2.20%,0.50%,-0.50%,0.90%,1.90%,2.90%,2.70%,5.00%,1.80%
May-05,2.80%,2.40%,2.00%,3.20%,9.90%,10.30%,5.00%,14.70%,2.20%,0.60%,-0.80%,0.90%,2.00%,2.70%,2.40%,5.00%,1.90%
Jun-05,2.50%,2.20%,1.40%,3.30%,7.30%,6.90%,5.60%,7.70%,2.00%,0.40%,-1.50%,0.70%,2.20%,2.70%,2.40%,4.80%,1.80%
Jul-05,3.20%,2.10%,1.40%,3.10%,14.20%,19.50%,5.50%,10.60%,2.10%,0.50%,-1.80%,0.30%,2.40%,2.80%,2.50%,4.80%,1.80%
Aug-05,3.60%,2.20%,1.50%,3.10%,20.20%,31.30%,5.70%,11.90%,2.10%,0.70%,-0.60%,0.10%,2.50%,2.70%,2.40%,4.40%,1.80%
Sep-05,4.70%,2.50%,2.10%,3.00%,34.80%,54.80%,6.40%,28.10%,2.00%,0.60%,-0.60%,0.70%,2.50%,2.50%,1.90%,4.40%,2.10%
Oct-05,4.30%,2.20%,1.50%,3.10%,29.50%,37.00%,8.40%,45.30%,2.10%,0.40%,-1.10%,0.90%,2.60%,2.70%,2.30%,4.60%,2.30%
Nov-05,3.50%,2.20%,1.50%,3.20%,18.30%,16.10%,11.40%,36.10%,2.10%,0.10%,-1.20%,0.10%,3.40%,2.90%,2.50%,4.80%,2.30%
Dec-05,3.40%,2.30%,1.70%,3.20%,17.10%,16.10%,10.70%,30.20%,2.20%,0.20%,-1.10%,-0.40%,3.70%,2.90%,2.60%,4.50%,2.40%
Jan-06,4.00%,2.60%,2.40%,3.00%,24.80%,27.40%,15.00%,34.50%,2.10%,0.10%,-1.00%,-0.40%,3.80%,2.90%,2.60%,4.10%,2.70%
Feb-06,3.60%,2.80%,2.40%,3.00%,20.10%,20.60%,15.40%,26.70%,2.10%,0.00%,-1.80%,-0.40%,3.80%,2.90%,2.60%,4.10%,2.60%
Mar-06,3.40%,2.60%,2.20%,3.10%,17.30%,17.00%,14.90%,21.90%,2.10%,0.30%,-1.20%,-0.20%,4.10%,2.80%,2.50%,4.10%,2.60%
Apr-06,3.50%,1.80%,0.90%,3.10%,17.80%,21.50%,14.80%,11.00%,2.30%,0.40%,-0.20%,-0.30%,4.30%,3.10%,2.80%,4.10%,2.60%
May-06,4.20%,1.90%,0.80%,3.20%,23.60%,33.40%,13.00%,10.00%,2.40%,0.30%,0.00%,-0.70%,4.30%,3.30%,3.20%,4.10%,2.70%
Jun-06,4.30%,2.20%,1.50%,3.10%,23.30%,34.00%,12.80%,7.60%,2.60%,0.50%,0.50%,-0.70%,3.90%,3.50%,3.40%,4.20%,2.70%
Jul-06,4.10%,2.20%,1.50%,3.20%,20.50%,29.60%,12.70%,4.00%,2.70%,0.50%,0.00%,0.40%,3.90%,3.50%,3.50%,4.00%,3.00%
